5000 vertices, 7500 edges
1118: 571 4304 3076 
1119: 4113 1182 3614 
1120: 271 4769 4855 
1121: 289 891 1964 
1122: 2677 1823 4625 
1123: 3120 1540 3826 
1124: 520 3722 2068 
1125: 79 640 944 
1126: 114 801 1875 
1127: 4251 4510 2359 
1128: 794 4532 3378 
1129: 4546 1238 4538 
1130: 1928 4190 4734 
1131: 1035 1702 2063 
1132: 207 791 3190 
1133: 367 2562 1392 
1134: 480 1737 2985 
1135: 922 4971 1278 
1136: 544 3532 4465 
1137: 2779 4606 4929 
1138: 2452 4511 1335 
1139: 2121 3219 3054 
1140: 4877 3342 3584 
1141: 2047 2741 4378 
1142: 181 183 4919 
1143: 743 4295 1671 
1144: 3015 1664 4124 
1145: 354 1049 3394 
1146: 1769 2588 2881 
1147: 3343 1969 1566 
1148: 136 3695 3213 
1149: 4377 2062 4416 
1150: 648 1614 2198 
1151: 3594 1725 2530 
1152: 4454 2858 3337 
1153: 3947 4022 2365 
1154: 79 4994 1822 
1155: 146 3304 4287 
1156: 1071 2288 3526 
1157: 50 3002 1615 
1158: 163 4004 3070 
1159: 93 330 2062 
1160: 3591 3290 4205 
1161: 849 864 1838 
1162: 148 570 4887 
1163: 2677 2423 4777 
1164: 22 1820 4011 
1165: 3645 2077 4178 
1166: 264 945 4526 
1167: 700 2457 1592 
1168: 1101 2425 3469 
1169: 4793 4561 2201 
1170: 161 301 974 
1171: 3692 3490 2361 
1172: 2193 4751 2931 
1173: 3319 2252 4388 
1174: 2925 3361 4022 
1175: 1060 3384 1854 
1176: 601 723 1521 
1177: 354 625 3589 
1178: 421 1254 3211 
1179: 1535 3165 2206 
1180: 939 1554 3609 
1181: 1871 4867 3030 
1182: 577 1119 3658 
1183: 142 1903 3751 
1184: 946 1349 3786 
1185: 579 4868 4863 
1186: 1564 4641 1614 
1187: 4533 2657 4938 
1188: 611 4849 1650 
1189: 4520 2768 1238 
1190: 4666 4310 1352 
1191: 4508 4161 4264 
1192: 1857 1380 4576 
1193: 894 2607 3210 
1194: 1391 3627 2780 
1195: 13 141 662 
1196: 191 3786 3756 
1197: 3304 3632 4105 
1198: 2170 2719 1629 
1199: 1640 3649 1323 
1200: 2665 4117 2072 
1201: 492 4657 2393 
1202: 284 2088 1461 
1203: 3905 4919 4940 
1204: 4437 3119 1910 
1205: 2545 1756 4751 
1206: 4964 2291 2610 
1207: 334 776 4193 
1208: 71 1116 1797 
1209: 2318 3000 1399 
1210: 4589 4444 4514 
1211: 4879 4589 2979 
1212: 9 337 3990 
1213: 942 4335 4119 
1214: 1215 4378 2385 
1215: 1013 1214 1281 
1216: 810 4741 1913 
1217: 323 814 1971 
1218: 647 3629 4151 
1219: 2094 2609 3598 
1220: 360 855 939 
1221: 3572 2516 3452 
1222: 2725 3810 2977 
1223: 168 2937 1610 
1224: 308 452 1637 
1225: 1533 3350 1669 
1226: 1094 2087 3599 
1227: 2595 4974 2895 
1228: 390 4207 3965 
1229: 856 4827 4768 
1230: 4174 2604 2004 
1231: 1967 2421 2682 
1232: 614 825 3616 
1233: 4464 3403 2167 
1234: 3161 2334 4625 
1235: 535 1781 2599 
1236: 4506 3301 2278 
1237: 1604 4249 1797 
1238: 632 1129 1189 
1239: 1320 2506 2779 
1240: 2105 2256 3706 
1241: 3341 1365 3781 
1242: 3625 4990 2741 
1243: 153 2562 2475 
1244: 1736 3878 2990 
1245: 141 2707 3519 
1246: 4483 4115 1816 
1247: 1075 4760 3717 
1248: 1010 1415 3650 
1249: 1658 4046 3159 
1250: 456 4431 1610 
1251: 1268 1518 2469 
1252: 919 2950 3819 
1253: 4777 3815 3145 
1254: 1178 4986 3409 
1255: 266 4311 1817 
1256: 721 2776 4252 
1257: 761 941 4183 
1258: 3059 2600 2341 
1259: 1344 3792 2842 
1260: 4218 2234 4680 
1261: 946 4682 2611 
1262: 2 476 4780 
1263: 254 2144 2689 
1264: 3967 3671 4438 
1265: 873 3241 4537 
1266: 118 549 952 
1267: 2618 1381 1985 
1268: 1251 2656 3244 
1269: 2556 3080 1438 
1270: 66 2552 3185 
1271: 2701 2260 4981 
1272: 635 3664 2169 
1273: 2147 4338 3949 
1274: 540 2130 3329 
1275: 1536 3901 1309 
1276: 2608 4020 4593 
1277: 1339 3346 4168 
1278: 1135 4483 2953 
1279: 100 780 2586 
1280: 3382 1965 4037 
1281: 996 1215 3050 
1282: 1637 2155 4604 
1283: 1435 2297 2465 
1284: 69 2791 3781 
1285: 1100 4279 4673 
1286: 889 4269 3279 
1287: 1065 4306 3513 
1288: 3112 4927 1677 
1289: 2304 3381 1594 
1290: 860 2363 1326 
1291: 882 4358 1579 
1292: 377 1376 3515 
1293: 156 2404 3810 
1294: 4758 4285 4854 
1295: 2642 3014 4352 
1296: 2394 4769 2130 
1297: 856 4124 3614 
1298: 3883 1723 4016 
1299: 471 1086 3564 
1300: 3018 2987 3575 
1301: 2452 3356 1631 
1302: 2882 3510 3406 
1303: 487 690 3445 
1304: 888 4329 3362 
1305: 2131 4048 4242 
1306: 2758 1495 1466 
1307: 424 1473 2333 
1308: 4141 3308 3364 
1309: 1275 4088 1901 
1310: 1017 1434 3302 
1311: 975 3209 2466 
1312: 4675 2636 3818 
1313: 1789 2274 4071 
1314: 168 3124 1819 
1315: 1515 1889 4132 
1316: 511 4584 2774 
1317: 29 2938 3987 
1318: 460 814 1007 
1319: 4545 2430 4694 
1320: 1239 4505 1650 
1321: 1465 3357 4564 
1322: 3070 3478 3685 
1323: 1199 2144 3237 
1324: 2127 3690 3868 
1325: 382 3329 1560 
1326: 1290 3419 3265 
1327: 3257 2118 3594 
1328: 352 3508 4326 
1329: 3095 4501 3423 
1330: 114 2738 1754 
1331: 3559 4528 1489 
1332: 1016 4787 4585 
1333: 993 4285 2904 
1334: 4366 4078 3157 
1335: 1098 1138 2374 
1336: 2591 4808 2637 
1337: 1117 4283 4962 
1338: 3346 4336 3870 
1339: 82 150 1277 
1340: 3958 4065 4374 
1341: 912 2350 4954 
1342: 915 4381 3707 
1343: 2370 2801 2461 
1344: 1066 1259 2641 
1345: 802 2444 1363 
1346: 1841 1779 3720 
1347: 3745 4900 4562 
1348: 1986 2806 2390 
1349: 1184 3251 3492 
1350: 2985 1659 2205 
1351: 1839 2065 4280 
1352: 1190 1924 2257 
1353: 2260 4156 3965 
1354: 178 638 2364 
1355: 3381 3220 2868 
1356: 1999 1915 3687 
1357: 28 1028 1091 
1358: 4497 2862 3745 
1359: 2559 2117 3775 
1360: 2039 4318 1951 
1361: 2398 3697 3253 
1362: 846 3387 4953 
1363: 1345 1534 2894 
1364: 4367 3392 3548 
1365: 1241 1884 3780 
1366: 502 3004 2138 
1367: 388 672 2173 
1368: 2876 1714 2272 
1369: 2180 2477 2303 
1370: 2730 3446 3301 
1371: 1027 4370 4012 
1372: 489 2014 1817 
1373: 169 1060 2331 
1374: 824 2567 3525 
1375: 2205 3939 2358 
1376: 1292 4364 4086 
1377: 198 1653 3565 
1378: 239 4146 2874 
1379: 4987 3728 1403 
1380: 1192 1843 1629 
1381: 438 1267 2619 
1382: 542 4218 4873 
1383: 324 4451 3339 
1384: 346 4527 4413 
1385: 1586 3773 3536 
1386: 1959 3110 3817 
1387: 435 4632 2971 
1388: 490 4074 2579 
1389: 2991 3383 2730 
1390: 1040 4236 2892 
1391: 1194 2952 1525 
1392: 1133 2851 2027 
1393: 3303 3902 3641 
1394: 627 3232 2433 
1395: 1398 1616 2507 
1396: 795 3356 4261 
1397: 185 4894 1425 
1398: 1395 4923 2595 
1399: 1209 3932 4761 
1400: 832 4260 3959 
1401: 2818 3073 3051 
1402: 2626 1729 2343 
1403: 408 1379 3809 
1404: 4305 3560 2148 
1405: 252 2187 2076 
1406: 1737 3958 2877 
1407: 478 4352 2102 
1408: 106 3302 3363 
1409: 4 151 165 
1410: 1605 1649 4995 
1411: 929 1037 3138 
1412: 575 673 4960 
1413: 422 1114 4690 
1414: 111 326 763 
1415: 917 1248 4009 
1416: 3290 2236 2754 
1417: 528 4379 4891 
1418: 46 785 907 
1419: 273 3049 2227 
1420: 17 789 1849 
1421: 1070 2641 4068 
1422: 2036 4389 1840 
1423: 586 870 3907 
1424: 3351 2308 2591 
1425: 1397 4368 4775 
1426: 296 2656 4168 
1427: 472 4682 4402 
1428: 646 3085 4614 
1429: 4360 3352 2990 
1430: 3337 3221 3255 
1431: 536 623 4215 
1432: 3705 2340 2493 
1433: 1565 4915 2189 
1434: 175 415 1310 
1435: 1283 3706 4406 
1436: 2740 2768 4797 
1437: 3454 2095 1997 
1438: 1269 2943 4981 
1439: 2795 2877 2753 
1440: 3349 2452 3845 
1441: 3797 4613 3339 
1442: 4993 3865 4769 
1443: 1875 2211 4343 
1444: 41 3637 2696 
1445: 3214 4468 2963 
1446: 54 3648 3829 
1447: 287 1498 1872 
1448: 3795 4090 4442 
1449: 3137 1850 3566 
1450: 977 2235 4391 
1451: 48 1630 2797 
1452: 3327 1460 2572 
1453: 303 4090 3643 
1454: 102 1024 4427 
1455: 3103 2642 4045 
1456: 2077 3882 2214 
1457: 204 3873 4484 
1458: 133 167 4777 
1459: 1711 2703 3871 
1460: 545 1452 4039 
1461: 491 840 1202 
1462: 3716 3314 1701 
1463: 2412 2996 1864 
1464: 2612 1766 4401 
1465: 1321 3498 2411 
1466: 1306 1610 3114 
1467: 3595 2254 2565 
1468: 4 4459 3307 
1469: 1891 2593 4075 
1470: 625 4038 4948 
1471: 2085 2502 4756 
1472: 2824 1877 1783 
1473: 1307 1892 1491 
1474: 3845 4268 4858 
1475: 816 2262 3762 
1476: 103 113 2960 
1477: 609 4120 2521 
1478: 4294 2764 2874 
1479: 692 4321 4446 
1480: 4661 1860 1580 
1481: 2003 3094 3134 
1482: 784 3019 2002 
1483: 3404 2736 3403 
1484: 3970 2127 4325 
1485: 3670 4031 1730 
1486: 1034 4928 4786 
1487: 2694 1571 3068 
1488: 4392 4587 1985 
1489: 641 1331 2709 
1490: 3145 4449 4894 
1491: 1031 1033 1473 
1492: 638 3782 3322 
1493: 1021 1715 4369 
1494: 3081 1852 2185 
1495: 216 1081 1306 
1496: 3185 1970 1867 
1497: 172 966 3560 
1498: 1447 3027 1552 
1499: 533 4660 4129 
1500: 1069 3353 1935 
1501: 721 3712 3433 
1502: 4039 4491 4463 
1503: 2641 4507 1753 
1504: 234 426 3653 
1505: 1088 4790 3074 
1506: 4999 2552 2981 
1507: 386 3028 3777 
1508: 495 4289 3767 
1509: 1029 4190 3641 
1510: 854 1644 3186 
1511: 676 3286 3763 
1512: 4232 3203 3215 
1513: 2913 1787 2533 
1514: 3771 2362 3848 
1515: 77 932 1315 
1516: 3258 1832 1904 
1517: 30 346 3028 
1518: 1251 3119 2023 
1519: 793 3632 4809 
1520: 3365 3345 3619 
1521: 1176 3297 2889 
1522: 918 4172 1543 
1523: 866 2669 4872 
1524: 2080 2462 2771 
1525: 237 1111 1391 
1526: 2309 4542 3154 
1527: 4717 4959 4949 
1528: 767 2950 3622 
1529: 571 3700 4547 
1530: 483 3431 3558 
1531: 2271 4659 3825 
1532: 220 234 3524 
1533: 320 957 1225 
1534: 200 826 1363 
1535: 80 1179 4158 
1536: 655 1275 2475 
1537: 850 1918 4107 
1538: 4113 4476 4651 
1539: 1100 1829 2729 
1540: 1123 3703 2511 
1541: 646 950 4764 
1542: 1727 3552 2669 
1543: 375 1522 2207 
1544: 222 3578 1725 
1545: 471 904 2857 
1546: 4072 2320 2742 
1547: 679 3094 1559 
1548: 1846 2227 4640 
1549: 1700 3440 3152 
1550: 1045 1615 3514 
1551: 3892 2116 4206 
1552: 161 689 1498 
1553: 951 1899 1601 
1554: 1180 4614 3323 
1555: 480 2722 1680 
1556: 2171 3862 2361 
1557: 3893 3295 4603 
1558: 4922 4987 2718 
1559: 1547 4216 3642 
1560: 676 935 1325 
1561: 126 990 2575 
1562: 2845 2776 3069 
1563: 4991 3487 3182 
1564: 305 1186 2013 
1565: 1433 4521 2301 
1566: 1147 4164 3955 
1567: 4512 2787 3557 
1568: 2727 3053 1985 
1569: 135 1105 4329 
1570: 545 1772 4974 
1571: 633 1487 3895 
1572: 2976 1738 3547 
1573: 693 2817 3669 
1574: 1976 2508 2934 
1575: 4419 1786 4381 
1576: 2639 3949 2725 
1577: 4670 2732 2065 
1578: 3012 3759 2609 
1579: 1291 1729 3023 
1580: 105 1480 4654 
1581: 329 601 4134 
1582: 1033 3049 3272 
1583: 3874 1869 2113 
1584: 1594 3570 3588 
1585: 512 4339 1909 
1586: 1385 2348 4218 
1587: 2573 4611 3777 
1588: 2037 4908 4746 
1589: 121 2363 4996 
1590: 358 448 4110 
1591: 767 1032 3548 
1592: 1167 4195 4904 
1593: 106 1026 3814 
1594: 1289 1584 2662 
1595: 413 568 1943 
1596: 2093 2855 4927 
1597: 472 484 1849 
1598: 1805 1815 2218 
1599: 61 917 2714 
1600: 3925 3070 2002 
1601: 467 650 1553 
1602: 11 129 1863 
1603: 176 268 4304 
1604: 1114 1237 4007 
1605: 1410 4545 4198 
1606: 1018 2255 2717 
1607: 2245 2054 2584 
1608: 794 2136 1628 
1609: 702 3624 2301 
1610: 1223 1250 1466 
1611: 725 3239 3668 
1612: 579 4981 1706 
1613: 2648 4938 3617 
1614: 1150 1186 3539 
1615: 204 1157 1550 
1616: 399 1395 2132 
1617: 2700 2437 2202 
1618: 436 501 3220 
1619: 248 3360 3536 
1620: 2710 3217 3880 
1621: 1007 3381 3201 
1622: 2312 4041 2984 
1623: 552 743 2061 
1624: 2338 3565 3501 
1625: 1882 2809 2385 
1626: 812 1069 4628 
1627: 2636 3709 4605 
1628: 927 1608 1764 
1629: 1022 1198 1380 
1630: 1451 2800 2908 
1631: 119 1301 3244 
1632: 899 3679 4276 
1633: 303 1063 4836 
1634: 2860 4780 1993 
1635: 688 1869 2617 
1636: 722 3867 4994 
1637: 1224 1282 4657 
1638: 35 995 4481 
1639: 1681 1887 3074 
1640: 1199 4630 4032 
1641: 2486 2831 4525 
1642: 2929 4294 1654 
1643: 2260 4213 2376 
1644: 787 1510 4063 
1645: 1884 3382 2499 
1646: 912 4039 4937 
1647: 2566 4991 4730 
1648: 601 706 4839 
1649: 1410 1870 2370 
1650: 1188 1320 4267 
1651: 2945 4112 3377 
1652: 621 2113 4383 
1653: 1377 3525 1673 
1654: 1642 3963 2327 
1655: 2790 4082 4028 
1656: 2959 4979 3701 
1657: 165 767 2825 
1658: 1249 1806 4097 
1659: 1350 3195 4284 
1660: 2875 3812 2513 
1661: 76 277 3462 
1662: 246 2966 1801 
1663: 738 4171 2961 
1664: 1144 4067 1804 
1665: 1836 4983 3699 
1666: 2500 2398 4119 
1667: 4408 2762 2408 
1668: 4931 3051 3278 
1669: 1027 1225 4983 
1670: 310 3224 3273 
1671: 1143 4973 4646 
1672: 1694 3657 4983 
1673: 728 1653 1841 
1674: 4727 3100 2901 
1675: 435 4089 3041 
1676: 340 827 944 
1677: 299 1108 1288 
1678: 14 3563 4389 
1679: 517 619 3262 
1680: 122 1555 3060 
1681: 121 1639 2187 
1682: 979 2084 2706 
1683: 2324 1932 4912 
1684: 164 2905 3657 
1685: 4046 2214 4772 
1686: 312 4955 2778 
1687: 4861 2885 2461 
1688: 786 1086 3887 
1689: 4131 3850 1762 
1690: 429 2500 3312 
1691: 913 4544 3735 
1692: 2639 1809 1962 
1693: 2708 3299 1878 
1694: 1672 4872 3846 
1695: 3276 2998 2053 
1696: 2321 3260 4810 
1697: 3443 3043 4588 
1698: 2324 4685 4858 
1699: 924 2119 4706 
1700: 1549 3448 2586 
1701: 1462 3689 3420 
1702: 58 590 1131 
1703: 236 1835 2130 
1704: 13 189 3969 
1705: 504 4203 3971 
1706: 388 1612 3469 
1707: 850 2137 4943 
1708: 345 1763 2727 
1709: 4882 4227 3144 
1710: 2303 4070 1920 
1711: 437 1459 1777 
1712: 2698 4126 4843 
1713: 4433 3226 4760 
1714: 1368 3438 2568 
1715: 281 1061 1493 
1716: 3428 2428 4426 
1717: 3023 4173 2328 
1718: 4480 3399 4648 
1719: 1748 3936 2520 
1720: 2305 3019 2176 
1721: 348 920 4943 
1722: 439 606 3487 
1723: 202 1298 3113 
1724: 1042 2747 3631 
1725: 1151 1544 3683 
1726: 432 4964 3058 
1727: 1542 3300 2738 
1728: 684 2141 4586 
1729: 1402 1579 4599 
1730: 1485 4477 2790 
1731: 2492 3415 4668 
1732: 4065 4450 2925 
1733: 4584 2745 4741 
1734: 10 615 4501 
1735: 4901 2386 4059 
1736: 278 841 1244 
1737: 1134 1406 4177 
1738: 1572 4450 2690 
1739: 311 360 3188 
1740: 366 2259 1788 
1741: 897 2107 2194 
1742: 3555 4492 4641 
1743: 757 3747 2992 
1744: 4508 4210 4926 
1745: 250 4428 3164 
1746: 3223 3820 2480 
1747: 4656 3113 4168 
1748: 1719 4627 4472 
1749: 4916 2766 3496 
1750: 4370 2961 3435 
1751: 3739 3713 2773 
1752: 924 1085 3984 
1753: 1503 4779 3449 
1754: 723 1330 4542 
1755: 4431 4964 3077 
1756: 1205 2813 2128 
1757: 244 492 2465 
1758: 725 3549 3929 
1759: 186 876 2153 
1760: 4678 2601 4328 
1761: 85 3948 4343 
1762: 1689 1955 4952 
1763: 1708 2551 3679 
1764: 64 1628 3938 
1765: 1827 3141 3230 
1766: 648 1464 2799 
1767: 828 2756 1936 
1768: 4319 3568 1943 
1769: 711 1146 4273 
1770: 3098 2284 3251 
1771: 2449 4711 3572 
1772: 1570 2574 2225 
1773: 3747 2843 1951 
1774: 2765 2913 4118 
1775: 280 2051 3067 
1776: 4588 2663 4429 
1777: 1711 2640 4849 
1778: 427 2793 2564 
1779: 1346 4795 1878 
1780: 401 2694 2533 
1781: 1235 4467 4061 
1782: 2480 2783 4221 
1783: 555 1472 4764 
1784: 3430 2659 4824 
1785: 2439 1886 3020 
1786: 1575 4723 1836 
1787: 1513 4169 2282 
1788: 401 609 1740 
1789: 1313 3944 3502 
1790: 4716 4004 4614 
1791: 597 2572 3173 
1792: 184 2787 3419 
1793: 3274 2258 2754 
1794: 89 692 1081 
1795: 114 3534 3234 
1796: 355 2214 2950 
1797: 1208 1237 2547 
1798: 17 4206 1928 
1799: 2922 3189 3875 
1800: 538 3289 4059 
1801: 1662 3303 2842 
1802: 4103 4067 2548 
1803: 209 3209 2964 
1804: 853 1664 2358 
1805: 999 1598 4608 
1806: 1658 4172 4648 
1807: 3132 3100 4992 
1808: 805 978 2071 
1809: 248 1692 4523 
1810: 1099 2748 3764 
1811: 1056 4017 1873 
1812: 2810 1950 4066 
1813: 2217 1917 2984 
1814: 4607 3164 4759 
1815: 321 667 1598 
1816: 1246 4524 4668 
1817: 1255 1372 2630 
1818: 433 2813 4143 
1819: 267 732 1314 
1820: 1164 3328 4962 
1821: 27 3370 4778 
1822: 1077 1154 2287 
1823: 840 1122 3899 
1824: 2407 4260 2216 
1825: 26 4636 3142 
1826: 17 232 4825 
1827: 275 1765 3562 
1828: 647 3378 3597 
1829: 1539 3863 4386 
1830: 753 2693 4337 
1831: 1026 3259 4120 
1832: 1516 4327 2511 
1833: 2849 1987 4340 
1834: 4460 2179 2836 
1835: 1703 4956 4179 
1836: 1092 1665 1786 
1837: 4837 2124 3920 
1838: 410 1161 2328 
1839: 1351 2592 2357 
1840: 1422 4774 2970 
1841: 1346 1673 3320 
1842: 692 1867 2054 
1843: 500 1380 4919 
1844: 182 4343 4227 
1845: 253 3923 4544 
1846: 285 903 1548 
1847: 3431 4452 4784 
1848: 2301 2173 4742 
1849: 156 1420 1597 
1850: 1449 1972 4547 
1851: 882 4760 2652 
1852: 1494 2769 3087 
1853: 861 2207 4434 
1854: 454 1175 2412 
1855: 2256 4446 4840 
1856: 499 3813 4942 
1857: 260 411 1192 
1858: 249 447 4217 
1859: 750 2685 4664 
1860: 1480 3926 3194 
1861: 157 2411 3577 
1862: 3144 3338 4589 
1863: 1602 2233 3281 
1864: 288 1463 4631 
1865: 6 2992 2644 
1866: 104 669 944 
1867: 1496 1842 4968 
1868: 305 4093 4718 
1869: 1583 1635 3470 
1870: 731 1649 3834 
1871: 742 1181 2462 
1872: 1447 3928 4274 
1873: 1811 4657 3797 
1874: 466 3956 3477 
1875: 238 1126 1443 
1876: 3886 4853 2444 
1877: 1472 4955 2985 
1878: 1693 1779 2869 
1879: 4285 3046 3103 
1880: 469 3998 2112 
1881: 2152 4633 2272 
1882: 134 682 1625 
1883: 711 909 4569 
1884: 1365 1645 3408 
1885: 2652 2750 3254 
1886: 1785 3812 3606 
1887: 1639 3952 3406 
1888: 704 3030 4886 
1889: 36 1315 2401 
1890: 751 4889 4638 
1891: 1469 2066 4360 
1892: 1473 3340 2978 
1893: 3541 4686 2294 
1894: 447 716 2106 
1895: 276 496 4280 
1896: 893 4719 2601 
1897: 234 4665 3367 
1898: 94 183 507 
1899: 653 1553 2085 
1900: 567 778 3154 
1901: 1309 4967 2584 
1902: 3641 2066 3124 
1903: 189 1183 2578 
1904: 1516 2922 4685 
1905: 584 1117 4027 
1906: 3433 4714 3437 
1907: 1091 4744 4876 
1908: 3102 3500 3750 
1909: 365 1585 2948 
1910: 1204 3509 3713 
1911: 3927 4694 1992 
1912: 72 487 681 
1913: 1216 2605 3892 
1914: 4297 2340 4515 
1915: 1356 3428 3651 
1916: 2258 4484 3168 
1917: 1813 3660 2472 
1918: 1537 4676 4885 
1919: 385 3593 2146 
1920: 1011 1710 3291 
1921: 389 661 4493 
1922: 216 2144 2638 
1923: 288 3950 2793 
1924: 1352 3411 2708 
1925: 79 3364 4527 
1926: 108 362 746 
1927: 4340 4174 2645 
1928: 1130 1798 4915 
1929: 685 693 3108 
1930: 2128 3971 2650 
1931: 851 2963 2158 
1932: 1683 2978 2038 
1933: 2732 3869 3179 
1934: 2552 3206 2779 
1935: 852 1500 2775 
1936: 1036 1767 2911 
1937: 83 593 1051 
1938: 124 2186 1965 
1939: 58 578 715 
1940: 4150 2180 4204 
1941: 39 531 587 
1942: 2494 4199 3754 
1943: 642 1595 1768 
1944: 529 4208 4527 
1945: 3170 4222 2780 
1946: 2759 2040 3457 
1947: 4697 3987 2602 
1948: 782 3301 2420 
1949: 302 4578 4339 
1950: 1812 2304 3132 
1951: 1360 1773 4125 
1952: 3367 2265 2224 
1953: 1052 2889 3191 
1954: 1961 3531 4883 
1955: 1762 2156 3215 
1956: 936 2502 4146 
1957: 21 493 572 
1958: 109 2365 3304 
1959: 1386 4155 2613 
1960: 349 957 2546 
1961: 1954 2207 3591 
1962: 1046 1692 3326 
1963: 2708 2540 2949 
1964: 1121 4511 3325 
1965: 573 1280 1938 
1966: 4683 2502 3734 
1967: 1231 2477 2997 
1968: 3863 4493 4120 
1969: 756 1147 2898 
1970: 1496 2337 3732 
1971: 1217 3464 4689 
1972: 1850 2328 2907 
1973: 2209 2240 4420 
1974: 4637 2494 2065 
1975: 266 4803 4993 
1976: 1574 3675 2746 
1977: 497 847 3316 
1978: 149 605 4801 
1979: 4231 4920 2387 
1980: 4395 2463 4927 
1981: 3691 2892 2528 
1982: 3568 3318 3755 
1983: 62 3084 3939 
1984: 2932 4263 4054 
1985: 1267 1488 1568 
1986: 1348 3260 3680 
1987: 909 1056 1833 
1988: 2688 3041 1998 
1989: 159 439 3848 
1990: 2540 4933 4301 
1991: 3739 4580 2522 
1992: 65 1911 4141 
1993: 765 1038 1634 
1994: 407 2256 2295 
1995: 400 4578 3837 
1996: 241 3061 2487 
1997: 1437 4557 4243 
1998: 1988 2536 3868 
1999: 973 1356 3245 
2000: 511 4997 4345 
2001: 4940 2812 2421 
2002: 762 1482 1600 
2003: 485 1481 4384 
2004: 1230 2906 4590 
2005: 2533 3647 3930 
2006: 4991 4327 3364 
2007: 596 4886 3680 
2008: 710 4364 3162 
2009: 658 2694 2178 
2010: 3674 2118 4932 
2011: 4375 3484 4288 
2012: 303 468 4183 
2013: 167 895 1564 
2014: 1372 4972 4802 
2015: 4753 4462 2215 
2016: 4582 2848 3664 
2017: 4756 2149 3505 
2018: 433 4292 2697 
2019: 3458 2192 3133 
2020: 3225 3645 4714 
2021: 4615 2117 2091 
2022: 2960 4832 4362 
2023: 51 781 1518 
2024: 3540 4861 3841 
2025: 590 613 4009 
2026: 2593 3055 3726 
2027: 192 1078 1392 
2028: 2564 2039 4945 
2029: 4600 2705 2395 
2030: 4932 3118 4776 
2031: 3251 4153 2880 
2032: 2189 2140 3117 
2033: 4171 3063 3590 
2034: 960 3375 4264 
2035: 2069 3686 2338 
2036: 3 1422 2893 
2037: 69 1588 4096 
2038: 1932 4209 3307 
2039: 528 1360 2028 
2040: 1006 1946 3047 
2041: 942 994 2870 
2042: 329 3379 3044 
2043: 213 3847 2259 
2044: 821 4959 4782 
2045: 2620 3940 4626 
2046: 2589 2976 2245 
2047: 1141 2897 4514 
2048: 758 1005 3551 
2049: 3313 4618 4943 
2050: 4600 3681 4883 
2051: 1106 1775 4043 
2052: 3382 2573 2835 
2053: 1695 3946 3769 
2054: 1028 1607 1842 
2055: 3700 4758 4262 
2056: 2706 4248 3778 
2057: 3790 3520 4028 
2058: 929 3343 4004 
2059: 3090 4832 2539 
2060: 1051 4965 3199 
2061: 813 1623 4403 
2062: 1149 1159 4221 
2063: 211 1131 3352 
2064: 408 1076 4466 
2065: 1351 1577 1974 
2066: 457 1891 1902 
2067: 325 404 4839 
2068: 1075 1124 2573 
2069: 2035 4468 4091 
2070: 3744 3770 3951 
2071: 435 936 1808 
2072: 1200 3280 3075 
2073: 277 937 966 
2074: 98 4958 4597 
2075: 739 901 4383 
2076: 1405 2394 3377 
2077: 1165 1456 2506 
2078: 2381 4412 2894 
2079: 2940 4299 2846 
2080: 450 1524 2983 
2081: 4642 2901 3952 
2082: 4606 2810 3002 
2083: 274 1079 2472 
2084: 1682 4597 4740 
2085: 291 1471 1899 
2086: 368 2180 4068 
2087: 847 1226 3579 
2088: 611 624 1202 
2089: 51 733 921 
2090: 2867 3242 4962 
2091: 2021 4978 2549 
2092: 332 2310 3172 
2093: 187 859 1596 
2094: 442 653 1219 
2095: 1437 3198 3048 
2096: 156 890 3661 
2097: 3343 4868 2758 
2098: 965 3228 4990 
2099: 410 3772 4498 
2100: 4671 4209 2490 
2101: 252 4914 4261 
2102: 278 1407 3956 
2103: 574 2265 2587 
2104: 2921 4405 3624 
2105: 618 1240 3084 
2106: 1894 2949 2422 
2107: 1741 4865 4223 
2108: 3492 4300 4417 
2109: 2761 2653 4254 
2110: 874 2994 2738 
2111: 2194 2863 2261 
2112: 342 1880 2538 
2113: 1583 1652 3731 
2114: 302 563 4419 
2115: 185 3200 2917 
2116: 1006 1551 3974 
2117: 1359 2021 3923 
2118: 1327 2010 3225 
2119: 1699 3877 2146 
2120: 3394 3638 2229 
2121: 999 1139 4109 
2122: 240 400 470 
2123: 696 972 3330 
2124: 1837 4436 3743 
2125: 3738 3859 4544 
2126: 4758 4844 2360 
2127: 849 1324 1484 
2128: 1756 1930 2645 
2129: 325 2480 4892 
2130: 1274 1296 1703 
2131: 697 1305 3986 
2132: 111 1616 3825 
2133: 353 4308 3247 
2134: 2607 4667 4081 
2135: 606 2610 2456 
2136: 902 1608 4737 
2137: 823 1707 4127 
2138: 1366 3200 3610 
2139: 361 1065 2629 
2140: 576 2032 3588 
2141: 514 1728 3078 
2142: 587 4930 4698 
2143: 3516 3863 3626 
2144: 1263 1323 1922 
2145: 40 4000 4121 
2146: 1919 2119 3838 
2147: 50 842 1273 
2148: 1404 4918 3894 
2149: 2017 3988 4317 
2150: 4979 4550 3615 
2151: 391 558 3231 
2152: 139 1881 3366 
2153: 44 1759 4011 
2154: 4987 4837 4378 
2155: 1282 3495 2286 
2156: 55 1955 3488 
2157: 2223 4652 4418 
2158: 522 1089 1931 
